Word	seg	SegTrans	DepVar	td	POS	Gram	Gram2	PreSegTrans	FolSegTrans	PreSeg	FolSeg	Speaker	Recording	DictNSyl	NSyl	DictRate	Rate	FolWord	freq	log_freq	Context
accent	t	nx	Del	0	VB	m	m	n	ih	nasal	vowel	s28	s2802b	9	9	6.935748001	6.935748001	it	6	1.791759469	this like <VOCNOISE> blue will accent it or something and
accent	t	t	Ret	1	NN	m	m	n	sh	nasal	sibilant	s28	s2802b	10	10	5.498708079	5.498708079	she	6	1.791759469	of like an east coast accent she it was real
aged	d	d	Ret	1	VBN	past	past	jh	p	sibilant	stop	s28	s2801b	11	10	8.658724255	7.871567505	people	3	1.098612289	don't know there is middle aged people there but it's
and	d	aen	Del	0	CC	and	and	n	U	nasal	null	s28	s2802a	1	1	10.21659174	10.21659174	<VOCNOISE>	8082	8.997394646	mail order catalog thing <SIL> and <VOCNOISE> um <VOCNOISE> so
and	d	n	Del	0	CC	and	and	n	l	nasal	/l/	s28	s2801a	2	2	5.714285714	5.714285714	like	8082	8.997394646	but it really is <SIL> and like <SIL> especially i
and	d	en	Del	0	CC	and	and	n	s	nasal	sibilant	s28	s2801a	10	10	5.681818182	5.681818182	stuff	8082	8.997394646	<VOCNOISE> it's like there's flyers and stuff that you see
and	d	en	Del	0	CC	and	and	n	hh	nasal	/h/	s28	s2801b	12	12	6.537642657	6.537642657	how	8082	8.997394646	<VOCNOISE> just the suburbs develop and how it's like more
and	d	n	Del	0	CC	and	and	n	U	nasal	null	s28	s2801b	7	7	7.518167114	7.518167114	<VOCNOISE>	8082	8.997394646	<VOCNOISE> moved out to sunbury and <VOCNOISE> like <VOCNOISE> this
and	d	en	Del	0	CC	and	and	n	ow	nasal	vowel	s28	s2802b	6	6	5.004303701	5.004303701	only	8082	8.997394646	<IVER> <NOISE> <IVER> yeah <SIL> and only for like a
and	d	n	Del	0	CC	and	and	n	w	nasal	/w/	s28	s2802b	12	12	7.071689845	7.071689845	what	8082	8.997394646	the other person looks like and what the building is
and	d	n	Del	0	CC	and	and	n	w	nasal	/w/	s28	s2802b	5	5	4.12110782	4.12110782	we	8082	8.997394646	catalog's real small <VOCNOISE> <SIL> and we have like five
