Word	seg	SegTrans	DepVar	td	POS	Gram	Gram2	PreSegTrans	FolSegTrans	PreSeg	FolSeg	Speaker	Recording	DictNSyl	NSyl	DictRate	Rate	FolWord	freq	log_freq	Context
abused	d	d	Ret	1	JJ	past	past	z	S	sibilant	pause	s25	s2503b	7	6	3.310442412	2.837522068	<SIL>	6	1.791759469	uh <VOCNOISE> new direction for abused <SIL> <SIL> uh wives
activist	t	t	Ret	1	NN	m	m	s	S	sibilant	pause	s25	s2501a	7	7	5.541653043	5.541653043	<SIL>	1	0	gonna be some kind of activist <SIL> for <LAUGH> um
adult	t	tq	Glot	1	NN	m	m	l	s	/l/	sibilant	s25	s2503a	8	8	6.106870229	6.106870229	steps	8	2.079441542	if somebody <SIL> as an adult steps over that <SIL>
against	t	t	Ret	1	IN	m	m	s	ih	sibilant	vowel	s25	s2501a	13	13	5.668254505	5.668254505	it	33	3.496507561	construction so i shouldn't be against it or anything but
almost	t	s	Del	0	RB	m	m	s	U	sibilant	null	s25	s2501b	4	4	7.002690784	7.002690784	<ERROR-doed=did>	79	4.369447852	for himself <NOISE> yeah he almost <ERROR-doed=did> that this year
almost	t	t	Ret	1	RB	m	m	s	f	sibilant	fricative	s25	s2501b	12	11	5.715137542	5.23887608	five	79	4.369447852	uh <HES-s=six> five years ago almost five years ago couple
almost	t	t	Ret	1	RB	m	m	s	b	sibilant	stop	s25	s2502b	4	4	3.501130865	3.501130865	be	79	4.369447852	as a group <VOCNOISE> and almost be <VOCNOISE> all parents
almost	t	s	Del	0	RB	m	m	s	f	sibilant	fricative	s25	s2501a	3	3	2.734314831	2.734314831	five	79	4.369447852	she is four months <VOCNOISE> almost five <IVER> yeah <SIL>
almost	t	t	Ret	1	RB	m	m	s	ey	sibilant	vowel	s25	s2501b	9	9	4.240376583	4.240376583	a	79	4.369447852	youngest was about six months almost a year <VOCNOISE> so
almost	t	t	Ret	1	RB	m	m	s	S	sibilant	pause	s25	s2502a	9	9	4.644099439	4.644099439	<SIL>	79	4.369447852	they've been married for probably almost <SIL> oh i don't
almost	t	s	Del	0	RB	m	m	s	th	sibilant	apical	s25	s2501b	8	9	7.184630638	8.082709468	thought	79	4.369447852	something with kids <VOCNOISE> i almost thought of opening my
and	d	n	Del	0	CC	and	and	n	y	nasal	/y/	s25	s2503b	6	6	8.515723574	8.515723574	yknow	8082	8.997394646	{B_TRANS} <VOCNOISE> and yknow you can have
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s25	s2503a	7	7	3.317535545	3.317535545	i	8082	8.997394646	made me more aware too and i <SIL> yknow when
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s25	s2503b	3	3	8.918988825	8.918988825	i'm	8082	8.997394646	<VOCNOISE> i mean <VOCNOISE> <CUTOFF-a=and> and i'm uh <SIL> i'm
and	d	en	Del	0	CC	and	and	n	ay	nasal	vowel	s25	s2501b	10	10	6.473019806	6.473019806	i'd	8082	8.997394646	a year would come up and i'd say okay here
and	d	nx	Del	0	CC	and	and	n	ay	nasal	vowel	s25	s2502b	12	11	6.135220254	5.6239519	i	8082	8.997394646	<VOCNOISE> i was financially secure and i didn't <VOCNOISE> i
and	d	n	Del	0	CC	and	and	n	aa	nasal	vowel	s25	s2501a	15	15	5.724832491	5.724832491	on	8082	8.997394646	<CUTOFF-i=in> uh in insurance off and on working for independent
and	d	en	Del	0	CC	and	and	n	g	nasal	stop	s25	s2501b	10	10	7.246665628	7.246665628	go	8082	8.997394646	<VOCNOISE> i would get up and go to work every
and	d	n	Del	0	CC	and	and	n	p	nasal	stop	s25	s2502b	16	16	6.795899185	6.795899185	probably	8082	8.997394646	<VOCNOISE> is in another relationship and probably on his way
and	d	n	Del	0	CC	and	and	n	ah	nasal	vowel	s25	s2501b	2	2	18.81821603	18.81821603	uh	8082	8.997394646	but it felt good <SIL> and uh <SIL> and i
and	d	en	Del	0	CC	and	and	n	y	nasal	/y/	s25	s2503a	10	10	5.317041917	5.317041917	yknow	8082	8.997394646	<VOCNOISE> let's go get it and yknow we need more
and	d	n	Del	0	CC	and	and	n	S	nasal	pause	s25	s2503b	1	1	17.74056202	17.74056202	<SIL>	8082	8.997394646	some of these guys <VOCNOISE> and <SIL> yknow we want
and	d	d	Ret	1	CC	and	and	n	hh	nasal	/h/	s25	s2501b	7	7	5.838110854	5.838110854	he	8082	8.997394646	<HES-the> the other contractors <VOCNOISE> and he works together with
and	d	n	Del	0	CC	and	and	n	y	nasal	/y/	s25	s2502b	6	6	6.399883949	6.399883949	yknow	8082	8.997394646	came out <VOCNOISE> yeah <VOCNOISE> and yknow where are all
and	d	n	Del	0	CC	and	and	n	ih	nasal	vowel	s25	s2502b	5	5	4.281610057	4.281610057	it's	8082	8.997394646	<VOCNOISE> so <IVER> yeah <SIL> and it's been five years
and	d	n	Del	0	CC	and	and	n	s	nasal	sibilant	s25	s2502b	5	5	5.644149895	5.644149895	say	8082	8.997394646	can really commit <SIL> <VOCNOISE> and say yeah we do
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s25	s2502a	7	6	7.031218611	6.026758809	i	8082	8.997394646	i appreciated <SIL> money <IVER> and i didn't even want
and	d	n	Del	0	CC	and	and	n	S	nasal	pause	s25	s2501a	5	5	4.17733977	4.17733977	<SIL>	8082	8.997394646	<VOCNOISE> so we help him and <SIL> he's retired <VOCNOISE>
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s25	s2503a	6	6	7.594936709	7.594936709	i	8082	8.997394646	start there first <SIL> yknow and i think if <SIL>
and	d	n	Del	0	CC	and	and	n	ah	nasal	vowel	s25	s2503b	4	4	3.43188565	3.43188565	uh	8082	8.997394646	money anyway <VOCNOISE> <LAUGH=yknow> <VOCNOISE> and uh have to <IVER>
and	d	en	Del	0	CC	and	and	n	U	nasal	null	s25	s2502a	5	5	4.674286377	4.674286377	<VOCNOISE>	8082	8.997394646	christmas and things like that and <VOCNOISE> they can run
and	d	n	Del	0	CC	and	and	n	S	nasal	pause	s25	s2501a	4	5	4.091000209	5.113750261	<SIL>	8082	8.997394646	<VOCNOISE> um <SIL> around carl and <SIL> uh morse road
and	d	nx	Del	0	CC	and	and	n	ay	nasal	vowel	s25	s2502a	6	5	4.502185811	3.751821509	i	8082	8.997394646	i had kids <VOCNOISE> <IVER> and i had two little
and	d	n	Del	0	CC	and	and	n	y	nasal	/y/	s25	s2503b	7	7	4.094240048	4.094240048	yknow	8082	8.997394646	<VOCNOISE> we push all this and yknow <VOCNOISE> and then
and	d	n	Del	0	CC	and	and	n	eh	nasal	vowel	s25	s2502b	9	9	5.308954614	5.308954614	everybody's	8082	8.997394646	take it out <HES-uh> yknow and everybody's surprised <VOCNOISE> yknow
and	d	en	Del	0	CC	and	and	n	ah	nasal	vowel	s25	s2501a	7	7	2.71612392	2.71612392	uh	8082	8.997394646	<IVER> so she's doing that and uh <IVER> um-hum <SIL>
and	d	n	Del	0	CC	and	and	n	th	nasal	apical	s25	s2501a	11	11	3.656574521	3.656574521	things	8082	8.997394646	coming up the gentleman's clubs and things like that i
