Word	seg	SegTrans	DepVar	td	POS	Gram	Gram2	PreSegTrans	FolSegTrans	PreSeg	FolSeg	Speaker	Recording	DictNSyl	NSyl	DictRate	Rate	FolWord	freq	log_freq	Context
act	t	t	Ret	1	NN	m	m	k	y	stop	/y/	s38	s3802b	9	9	3.644667588	3.644667588	you	9	2.197224577	you had the best death act you were the best
adult	t	dx	Ret	1	NN	m	m	l	ae	/l/	vowel	s38	s3802b	7	7	3.858398963	3.858398963	as	8	2.079441542	it depends on <VOCNOISE> the adult as far as the
afford	d	d	Ret	1	VB	m	m	r	U	/r/	null	s38	s3801b	9	9	4.464952356	4.464952356	<VOCNOISE>	6	1.791759469	many people anymore that can afford <VOCNOISE> to have a
against	t	t	Ret	1	IN	m	m	s	U	sibilant	null	s38	s3801a	3	3	4.425803615	4.425803615	<VOCNOISE>	33	3.496507561	they'll <VOCNOISE> yeah <VOCNOISE> it's against <VOCNOISE> yeah it's against
almost	t	t	Ret	1	RB	m	m	s	b	sibilant	stop	s38	s3802b	10	8	4.31152864	3.449222912	because	79	4.369447852	they got to drive them almost because they're <VOCNOISE> they're
amount	t	nx	Del	0	NN	m	m	n	ah	nasal	vowel	s38	s3801b	10	10	4.624842062	4.624842062	of	30	3.401197382	highers but <VOCNOISE> yknow higher amount of money for <VOCNOISE>
amount	t	t	Ret	1	NN	m	m	n	ae	nasal	vowel	s38	s3801a	10	10	5.644611851	5.644611851	and	30	3.401197382	whatever and you make this amount and if you came
amount	t	nx	Del	0	NN	m	m	n	ah	nasal	vowel	s38	s3801b	13	13	4.371690546	4.371690546	of	30	3.401197382	either better to downscale the amount of people they have
amount	t	nx	Del	0	NN	m	m	n	ah	nasal	vowel	s38	s3802b	9	9	3.548737773	3.548737773	of	30	3.401197382	<VOCNOISE> win things for reading amount of books <IVER> um-hum
amount	t	nx	Del	0	NN	m	m	n	ah	nasal	vowel	s38	s3802a	12	12	4.405661569	4.405661569	of	30	3.401197382	here weren't built for the amount of people that travel
and	d	em	Del	0	CC	and	and	n	m	nasal	/m/	s38	s3803a	9	9	5.776254843	5.776254843	met	8082	8.997394646	lot of stuff like that and met a lot of
and	d	n	Del	0	CC	and	and	n	aa	nasal	vowel	s38	s3801a	8	8	3.652747871	3.652747871	all	8082	8.997394646	bought o s u east and all this but <VOCNOISE>
and	d	en	Del	0	CC	and	and	n	n	nasal	/n/	s38	s3802b	10	10	5.025941397	5.025941397	now	8082	8.997394646	boys n sync all this and now we're starting to
and	d	en	Del	0	CC	and	and	n	ay	nasal	vowel	s38	s3801b	10	10	5.563155444	5.563155444	i	8082	8.997394646	<VOCNOISE> i five year old and i only have six
