Word	seg	SegTrans	DepVar	td	POS	Gram	Gram2	PreSegTrans	FolSegTrans	PreSeg	FolSeg	Speaker	Recording	DictNSyl	NSyl	DictRate	Rate	FolWord	freq	log_freq	Context
accept	t	p	Del	0	VB	m	m	p	m	stop	/m/	s39	s3901a	10	10	6.925917615	6.925917615	me	11	2.397895273	so <VOCNOISE> they offered to accept me to med school
account	t	n	Del	0	NN	m	m	n	U	nasal	null	s39	s3902a	7	6	5.3601771	4.594437515	<VOCNOISE>	5	1.609437912	kind of snuck in our account <VOCNOISE> <SIL> <VOCNOISE> <SIL>
against	t	t	Ret	1	IN	m	m	s	ih	sibilant	vowel	s39	s3902b	10	10	6.392590732	6.392590732	it	33	3.496507561	<SIL> i hope they vote against it but i don't
against	t	t	Ret	1	IN	m	m	s	hh	sibilant	/h/	s39	s3902b	9	9	5.193941786	5.193941786	him	33	3.496507561	complaints <SIL> have been filed against him and he still
agreement	t	n	Del	0	NN	m	m	n	w	nasal	/w/	s39	s3902b	12	12	4.587508444	4.587508444	was	3	1.098612289	wanted to see what the agreement was and it's pretty
almost	t	t	Ret	1	RB	m	m	s	th	sibilant	apical	s39	s3901a	9	9	9.788545661	9.788545661	think	79	4.369447852	they do <IVER> uh i almost think the honors would
amount	t	awn	Del	0	NN	m	m	n	ae	nasal	vowel	s39	s3902a	10	11	5.854790653	6.440269718	and	30	3.401197382	think we take up huge amount and then uh we
and	d	n	Del	0	CC	and	and	n	S	nasal	pause	s39	s3901a	9	9	4.254731734	4.254731734	<IVER>	8082	8.997394646	business and one's doing economics and <IVER> i think they're
and	d	n	Del	0	CC	and	and	n	y	nasal	/y/	s39	s3902a	7	7	3.634339734	3.634339734	yknow	8082	8.997394646	business ethics <SIL> part <SIL> and yknow set goal setting
and	d	nx	Del	0	CC	and	and	n	ay	nasal	vowel	s39	s3903a	13	12	7.500291357	6.923345868	i	8082	8.997394646	<CUTOFF-g=?> <SIL> columbus dispatch everyday and i read u s
