Word	seg	SegTrans	DepVar	td	POS	Gram	Gram2	PreSegTrans	FolSegTrans	PreSeg	FolSeg	Speaker	Recording	DictNSyl	NSyl	DictRate	Rate	FolWord	freq	log_freq	Context
afterward	d	er	Del	0	RB	m	m	er	U	/r/	null	s32	s3201b	3	3	28.36959914	28.36959914	<VOCNOISE>	1	0	later <SIL> next <VOCNOISE> <SIL> afterward <VOCNOISE> <SIL> mm-hmm <IVER>
amongst	t	t	Ret	1	NN	m	m	s	eh	sibilant	vowel	s32	s3201b	13	13	5.210163988	5.210163988	engineers	1	0	could call myself an engineer amongst engineers but <VOCNOISE> uh
amount	t	t	Ret	1	NN	m	m	n	l	nasal	/l/	s32	s3201b	15	14	8.597924919	8.024729925	looking	30	3.401197382	i've already learned an immense amount looking at my eurail
amount	t	aw	Del	0	NN	m	m	n	ah	nasal	vowel	s32	s3201b	9	9	4.268562794	4.268562794	of	30	3.401197382	then you have a finite amount of time <SIL> and
and	d	n	Del	0	CC	and	and	n	hh	nasal	/h/	s32	s3202b	5	5	7.713728122	7.713728122	he	8082	8.997394646	bring her back <VOCNOISE> <SIL> and he said is there
and	d	ehn	Del	0	CC	and	and	n	hh	nasal	/h/	s32	s3201a	10	9	6.17983951	5.561855559	he	8082	8.997394646	<EXCLUDE-name> <SIL> and he sat and he fanned himself because
and	d	d	Ret	1	CC	and	and	n	ay	nasal	vowel	s32	s3202b	3	3	3.924605708	3.924605708	i	8082	8.997394646	<EXT-so> um <SIL> <VOCNOISE> chris and i <VOCNOISE> <SIL> <EXT-uh>
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s32	s3202b	10	10	8.557921726	8.557921726	i	8082	8.997394646	<EXT-um> <SIL> my friend chris and i are upstairs playing
and	d	d	Ret	1	CC	and	and	n	f	nasal	fricative	s32	s3202b	9	9	6.904593856	6.904593856	father	8082	8.997394646	<EXT-um> parents <SIL> <VOCNOISE> stepmother and father have been split
and	d	en	Del	0	CC	and	and	n	s	nasal	sibilant	s32	s3202b	5	5	8.4205279	8.4205279	so	8082	8.997394646	how's your dad doing <VOCNOISE> and so the best way
and	d	n	Del	0	CC	and	and	n	y	nasal	/y/	s32	s3202b	7	7	5.719888871	5.719888871	your	8082	8.997394646	ah yeah all your friends and your dad <SIL> or
and	d	n	Del	0	CC	and	and	n	S	nasal	pause	s32	s3201b	1	1	12.74372372	12.74372372	<SIL>	8082	8.997394646	<IVER-wow> yeah <SIL> <VOCNOISE> <SIL> and <SIL> <IVER> two for
and	d	n	Del	0	CC	and	and	n	w	nasal	/w/	s32	s3202a	6	6	8.014811371	8.014811371	once	8082	8.997394646	start to play <VOCNOISE> <NOISE> and once you start playing
and	d	n	Del	0	CC	and	and	n	n	nasal	/n/	s32	s3202b	5	5	4.223579399	4.223579399	now	8082	8.997394646	chris <SIL> and <VOCNOISE> <SIL> and now chris is just
and	d	d	Ret	1	CC	and	and	n	ih	nasal	vowel	s32	s3201b	8	8	5.667661105	5.667661105	index	8082	8.997394646	i made netstock <SIL> iis and index server <SIL> all
and	d	d	Ret	1	CC	and	and	n	S	nasal	pause	s32	s3202b	1	1	10.65677718	10.65677718	<SIL>	8082	8.997394646	could <VOCNOISE> <SIL> <LAUGH> <VOCNOISE> and <SIL> we had two
