Word	seg	SegTrans	DepVar	td	POS	Gram	Gram2	PreSegTrans	FolSegTrans	PreSeg	FolSeg	Speaker	Recording	DictNSyl	NSyl	DictRate	Rate	FolWord	freq	log_freq	Context
accent	t	n	Del	0	NN	m	m	n	ih	nasal	vowel	s09	s0901a	12	11	4.534878316	4.15697179	is	6	1.791759469	like oh english people your accent is so neat and
accent	t	n	Del	0	NN	m	m	n	ae	nasal	vowel	s09	s0903a	4	4	5.478829119	5.478829119	and	6	1.791759469	and <VOCNOISE> yknow <VOCNOISE> their accent and <VOCNOISE> and <SIL>
act	t	t	Ret	1	NN	m	m	k	ow	stop	vowel	s09	s0903a	11	11	5.68547145	5.68547145	or	9	2.197224577	who do clean up their act or anything like that
against	t	t	Ret	1	IN	m	m	s	ih	sibilant	vowel	s09	s0901b	6	6	3.160351494	3.160351494	it	33	3.496507561	the people who were <SIL> against it would be so
against	t	t	Ret	1	IN	m	m	s	y	sibilant	/y/	s09	s0901b	7	7	7.371874194	7.371874194	you	33	3.496507561	<EXT-mean> <SIL> <VOCNOISE> everything is against you <VOCNOISE> <IVER> yknow
almost	t	t	Ret	1	RB	m	m	s	n	sibilant	/n/	s09	s0901b	7	7	4.919693039	4.919693039	nothing	79	4.369447852	just <VOCNOISE> there's <VOCNOISE> <SIL> almost nothing barred and i
amount	t	nx	Del	0	NN	m	m	n	ah	nasal	vowel	s09	s0901b	16	14	6.973193736	6.101544519	of	30	3.401197382	have <VOCNOISE> yknow a certain amount of responsibility for the
amount	t	nx	Del	0	NN	m	m	n	ah	nasal	vowel	s09	s0902b	12	12	6.014003607	6.014003607	of	30	3.401197382	you would only have the amount of children that you
amount	t	nx	Del	0	NN	m	m	n	ah	nasal	vowel	s09	s0901b	9	9	6.45911381	6.45911381	of	30	3.401197382	i mean <SIL> just the amount of people that i
amount	t	nx	Del	0	NN	m	m	n	ah	nasal	vowel	s09	s0902a	11	11	7.897391348	7.897391348	of	30	3.401197382	a <SIL> an a certain amount of money and then
amount	t	dx	Ret	1	NN	m	m	n	ah	nasal	vowel	s09	s0903a	3	3	15.34919417	15.34919417	of	30	3.401197382	if <SIL> if that <VOCNOISE> amount of <SIL> money <SIL>
and	d	en	Del	0	CC	and	and	n	y	nasal	/y/	s09	s0903a	13	12	7.731840731	7.137083752	yknow	8082	8.997394646	brad pitt and juliette lewis and yknow they're in <VOCNOISE>
and	d	nx	Del	0	CC	and	and	n	ih	nasal	vowel	s09	s0903b	4	4	5.116640209	5.116640209	it's	8082	8.997394646	<SIL> <VOCNOISE> everything <SIL> yknow and it's <SIL> <HES-it's> <VOCNOISE>
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0903b	3	3	5.274725275	5.274725275	i	8082	8.997394646	<VOCNOISE> in the world <SIL> and i mean <VOCNOISE> <SIL>
and	d	t	Ret	1	CC	and	and	n	U	nasal	null	s09	s0903b	1	1	1.809339085	1.809339085	<VOCNOISE>	8082	8.997394646	home just before halloween <VOCNOISE> and <VOCNOISE> yknow i <CUTOFF-w=?>
and	d	n	Del	0	CC	and	and	n	S	nasal	pause	s09	s0901a	6	6	4.869319634	4.869319634	<SIL>	8082	8.997394646	<SIL> a dime a dozen and <SIL> studying english in
and	d	en	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0903a	8	7	4.537719796	3.970504821	i	8082	8.997394646	so weird to come back and i feel so <VOCNOISE>
and	d	en	Del	0	CC	and	and	n	S	nasal	pause	s09	s0903b	6	5	4.339593438	3.616327865	<SIL>	8082	8.997394646	some german friends of theirs and <SIL> we got there
and	d	n	Del	0	CC	and	and	n	y	nasal	/y/	s09	s0901a	11	10	6.282354124	5.711231022	you	8082	8.997394646	how <VOCNOISE> bad americans are and you kind of think
and	d	en	Del	0	CC	and	and	n	th	nasal	apical	s09	s0901a	10	9	5.263977967	4.73758017	things	8082	8.997394646	how you say different words and things and then <VOCNOISE>
and	d	nx	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0902a	11	11	5.893130752	5.893130752	i	8082	8.997394646	in my graduating class yknow and i mean <SIL> this
and	d	nx	Del	0	CC	and	and	n	ah	nasal	vowel	s09	s0901b	8	8	4.827597444	4.827597444	unless	8082	8.997394646	can play off <SIL> whatever and unless they were <VOCNOISE>
and	d	n	Del	0	CC	and	and	n	U	nasal	null	s09	s0902b	1	1	12.49859391	12.49859391	<VOCNOISE>	8082	8.997394646	<VOCNOISE> so and and <VOCNOISE> and <VOCNOISE> adoption and all
and	d	d	Ret	1	CC	and	and	n	U	nasal	null	s09	s0902b	7	7	3.609359999	3.609359999	<VOCNOISE>	8082	8.997394646	specific programs for the children and <VOCNOISE> um <VOCNOISE> i
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0903b	9	9	5.064715813	5.064715813	i	8082	8.997394646	all this halloween stuff on and i mean <VOCNOISE> all
and	d	n	Del	0	CC	and	and	n	S	nasal	pause	s09	s0903a	1	1	3.502921436	3.502921436	<SIL>	8082	8.997394646	i believe <VOCNOISE> and <SIL> and <SIL> that's <SIL> yknow
and	d	n	Del	0	CC	and	and	n	aa	nasal	vowel	s09	s0901b	3	3	3.568140785	3.568140785	also	8082	8.997394646	<VOCNOISE> sort of responsible <SIL> and also <VOCNOISE> with like
and	d	d	Ret	1	CC	and	and	n	S	nasal	pause	s09	s0902b	2	2	3.48402921	3.48402921	<SIL>	8082	8.997394646	i do think <SIL> and and <SIL> with that they
and	d	nx	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0903b	13	12	5.379463196	4.965658335	i	8082	8.997394646	<IVER> and just totally bombarded and i mean here it's
and	d	n	Del	0	CC	and	and	n	ih	nasal	vowel	s09	s0901a	3	3	2.275059208	2.275059208	it	8082	8.997394646	classes were really small <VOCNOISE> and it was <SIL> yknow
and	d	n	Del	0	CC	and	and	n	s	nasal	sibilant	s09	s0901b	13	13	4.179812982	4.179812982	so	8082	8.997394646	where they felt so hated and so maligned or whatever
and	d	n	Del	0	CC	and	and	n	eh	nasal	vowel	s09	s0901a	7	7	6.216867427	6.216867427	everything	8082	8.997394646	i have <SIL> friends there and everything but <SIL> yknow
and	d	n	Del	0	CC	and	and	n	sh	nasal	sibilant	s09	s0903b	9	9	5.721849454	5.721849454	she'd	8082	8.997394646	<VOCNOISE> we would drive by and she'd be like oh
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0901a	9	9	6.382978723	6.382978723	i	8082	8.997394646	course load <SIL> every quarter and i had gone to
and	d	n	Del	0	CC	and	and	n	n	nasal	/n/	s09	s0902a	15	14	4.901960784	4.575163399	not	8082	8.997394646	i remember being really upset and not wanting my mom
and	d	en	Del	0	CC	and	and	n	eh	nasal	vowel	s09	s0901a	10	10	4.780041605	4.780041605	everything	8082	8.997394646	culture and all the stores and everything like that <VOCNOISE>
and	d	n	Del	0	CC	and	and	n	S	nasal	pause	s09	s0903b	7	7	6.306044975	6.306044975	<SIL>	8082	8.997394646	a couple a english friends and <SIL> to visit some
and	d	en	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0901a	5	5	6.024096386	6.024096386	i	8082	8.997394646	north of michigan but <VOCNOISE> and i had met some
and	d	n	Del	0	CC	and	and	n	ih	nasal	vowel	s09	s0903b	8	8	5.620215353	5.620215353	it	8082	8.997394646	i was <HES-just> <SIL> yknow and it was really mean
and	d	n	Del	0	CC	and	and	n	S	nasal	pause	s09	s0901a	9	9	7.315390036	7.315390036	<SIL>	8082	8.997394646	a lot of music interviewing and <SIL> writing there and
and	d	n	Del	0	CC	and	and	n	ih	nasal	vowel	s09	s0903b	8	8	7.211904691	7.211904691	it's	8082	8.997394646	a money making <SIL> yknow and it's so over the
and	d	t	Ret	1	CC	and	and	n	U	nasal	null	s09	s0903a	3	3	1.286020359	1.286020359	<VOCNOISE>	8082	8.997394646	i went there <VOCNOISE> yknow and <VOCNOISE> i worked the
and	d	d	Ret	1	CC	and	and	n	U	nasal	null	s09	s0902a	7	7	5.413322651	5.413322651	<VOCNOISE>	8082	8.997394646	different students with each other and <VOCNOISE> i mean if
and	d	n	Del	0	CC	and	and	n	U	nasal	null	s09	s0903b	7	7	5.242118475	5.242118475	<VOCNOISE>	8082	8.997394646	way longer than it should've and <VOCNOISE> a friend of
and	d	n	Del	0	CC	and	and	n	ih	nasal	vowel	s09	s0902b	2	2	3.633305054	3.633305054	if	8082	8.997394646	a year <VOCNOISE> um <SIL> and if <VOCNOISE> if you're
and	d	nx	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0903b	13	13	4.860349085	4.860349085	i	8082	8.997394646	of mainland europe and everything and i come back and
and	d	n	Del	0	CC	and	and	n	eh	nasal	vowel	s09	s0901a	11	11	3.723764387	3.723764387	everything	8082	8.997394646	we've done to the language and everything else and <VOCNOISE>
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0902a	9	9	5.031457792	5.031457792	i	8082	8.997394646	<SIL> a sense of that and i mean some of
and	d	n	Del	0	CC	and	and	n	p	nasal	stop	s09	s0901a	6	6	5.982608557	5.982608557	people	8082	8.997394646	the british way to <SIL> and people would say things
and	d	d	Ret	1	CC	and	and	n	S	nasal	pause	s09	s0902a	1	1	1.453706005	1.453706005	<SIL>	8082	8.997394646	don't have to work <VOCNOISE> and <SIL> and so <SIL>
and	d	n	Del	0	CC	and	and	n	ay	nasal	vowel	s09	s0903b	8	8	5.38192856	5.38192856	i	8082	8.997394646	in belgium with a friend and i mean <VOCNOISE> we
and	d	en	Del	0	CC	and	and	n	ah	nasal	vowel	s09	s0901b	9	9	5.839628236	5.839628236	underpaid	8082	8.997394646	already <SIL> are over worked and underpaid and <SIL> yknow
and	d	d	Ret	1	CC	and	and	n	S	nasal	pause	s09	s0902b	4	4	2.975134569	2.975134569	<SIL>	8082	8.997394646	always <SIL> a down side and <SIL> but <SIL> i
and	d	n	Del	0	CC	and	and	n	ey	nasal	vowel	s09	s0902b	8	7	5.637967766	4.933221796	a	8082	8.997394646	else and <SIL> the education and a lot <CUTOFF-m=? yknow
and	d	d	Ret	1	CC	and	and	n	U	nasal	null	s09	s0902a	6	6	2.738078179	2.738078179	<VOCNOISE>	8082	8.997394646	as it appeared to be and <VOCNOISE> i mean you're
and	d	n	Del	0	CC	and	and	n	eh	nasal	vowel	s09	s0903a	10	10	5.336620692	5.336620692	everything	8082	8.997394646	<SIL> even with the food and everything else <SIL> i
and	d	n	Del	0	CC	and	and	n	U	nasal	null	s09	s0903b	8	8	5.261880504	5.261880504	<VOCNOISE>	8082	8.997394646	even eat at mcdonalds yknow and <VOCNOISE> i was <HES-just>
and	d	en	Del	0	CC	and	and	n	aa	nasal	vowel	s09	s0902b	9	10	0.846346379	0.940384866	all	8082	8.997394646	and <VOCNOISE> and <VOCNOISE> adoption and all the other things
and	d	n	Del	0	CC	and	and	n	l	nasal	/l/	s09	s0903a	8	8	3.776547358	3.776547358	like	8082	8.997394646	is it going to be and like how <VOCNOISE> how
and	d	n	Del	0	CC	and	and	n	U	nasal	null	s09	s0903a	8	8	5.816658911	5.816658911	<VOCNOISE>	8082	8.997394646	the trailer and everything else and <VOCNOISE> yknow <VOCNOISE> their
and	d	n	Del	0	CC	and	and	n	U	nasal	null	s09	s0903b	5	5	3.00534049	3.00534049	<VOCNOISE>	8082	8.997394646	everything and i come back and <VOCNOISE> yknow where my
and	d	n	Del	0	CC	and	and	n	U	nasal	null	s09	s0903b	3	3	10.72577762	10.72577762	<VOCNOISE>	8082	8.997394646	isn't so much <VOCNOISE> yknow and <VOCNOISE> and just like
and	d	ng	Del	0	CC	and	and	n	k	nasal	stop	s09	s0901a	11	11	4.755533171	4.755533171	came	8082	8.997394646	and back to england again and came back and i'm
and	d	d	Ret	1	CC	and	and	n	S	nasal	pause	s09	s0901a	1	1	4.139124244	4.139124244	<SIL>	8082	8.997394646	fed up with columbus <SIL> and <SIL> <VOCNOISE> but <SIL>
